synid,class_name,urls,flickr_urls
n07714571,head cabbage,934,414
n07714802,red cabbage,736,476
n07714895,savoy cabbage,1014,402
n07714990,broccoli,1224,1078
n07715103,cauliflower,1170,930
n07715221,brussels sprouts,1317,1109
n07715407,broccoli rabe,845,409
n07715561,squash,1298,1219
n07715721,summer squash,1083,835
n07716034,yellow squash,1034,844
n07716203,crookneck,587,179
n07716358,zucchini,1093,731
n07716504,marrow,449,121
n07716649,cocozelle,145,11
n07716750,pattypan squash,340,152
n07716906,spaghetti squash,758,433
n07717070,winter squash,1155,619
n07717410,acorn squash,1086,776
n07717556,butternut squash,755,577
n07717714,hubbard squash,149,53
n07717858,turban squash,374,127
n07718068,buttercup squash,384,47
n07718195,cushaw,82,8
n07718329,winter crookneck squash,59,0
n07718472,cucumber,1268,1010
n07718671,gherkin,396,98
n07718747,artichoke,1136,714
n07718920,artichoke heart,352,174
n07719058,Jerusalem artichoke,430,170
n07719213,asparagus,1660,1613
n07719330,bamboo shoot,222,156
n07719437,sprout,113,86
n07719616,bean sprout,1135,794
n07719756,alfalfa sprout,388,220
n07719839,beet,1192,827
n07719980,beet green,375,236
n07720084,sugar beet,164,35
n07720185,mangel-wurzel,11,1
n07720277,chard,1138,984
n07720442,pepper,1180,980
n07720615,sweet pepper,1226,534
n07720875,bell pepper,1378,1159
n07721018,green pepper,1135,891
n07721118,globe pepper,72,3
n07721195,pimento,1092,657
n07721325,hot pepper,1205,791
n07721456,chili,1260,878
n07721678,jalapeno,1217,922
n07721833,chipotle,17,1
n07721942,cayenne,1071,695
n07722052,tabasco,1143,806
n07722217,onion,1203,978
n07722390,Bermuda onion,83,13
n07722485,green onion,1165,1021
n07722666,Vidalia onion,209,85
n07722763,Spanish onion,452,79
n07722888,purple onion,1175,971
n07723039,leek,785,476
n07723177,shallot,902,615
n07723330,salad green,1341,1157
n07723559,lettuce,1361,1143
n07723753,butterhead lettuce,346,46
n07723968,buttercrunch,538,156
n07724078,Bibb lettuce,333,62
n07724173,Boston lettuce,243,67
n07724269,crisphead lettuce,1017,274
n07724492,cos,1124,518
n07724654,leaf lettuce,1094,494
n07724819,celtuce,48,0
n07724943,bean,1195,884
n07725158,goa bean,3,0
n07725255,lentil,879,537
n07725376,pea,1289,1140
n07725531,green pea,1296,1148
n07725663,marrowfat pea,71,0
n07725789,snow pea,1269,946
n07725888,sugar snap pea,1191,816
n07726009,split-pea,107,36
n07726095,chickpea,1237,1130
n07726230,cajan pea,66,3
n07726386,field pea,140,26
n07726525,mushy peas,857,606
n07726672,black-eyed pea,753,488
n07726796,common bean,599,77
n07727048,kidney bean,1165,617
n07727140,navy bean,353,228
n07727252,pinto bean,399,119
n07727377,frijole,205,65
n07727458,black bean,786,406
n07727578,fresh bean,1050,590
n07727741,flageolet,346,68
n07727868,green bean,1298,1266
n07728053,snap bean,906,201
n07728181,string bean,1274,790
n07728284,Kentucky wonder,221,49
n07728391,scarlet runner,459,242
n07728585,haricot vert,1139,607
n07728708,wax bean,752,430
n07728804,shell bean,430,241
n07729000,lima bean,277,149
n07729142,Fordhooks,18,0
n07729225,sieva bean,197,33
n07729384,fava bean,1172,716
n07729485,soy,933,544
n07729828,green soybean,895,317
n07729926,field soybean,513,225
n07730033,cardoon,673,496
n07730207,carrot,1160,749
n07730320,carrot stick,1221,876
n07730406,celery,1020,641
n07730562,pascal celery,216,75
n07730708,celeriac,599,209
n07730855,chicory,1300,1252
n07731006,radicchio,1033,455
n07731122,coffee substitute,138,7
n07731284,chicory,1259,1121
n07731436,Postum,144,13
n07731587,chicory escarole,1253,553
n07731767,Belgian endive,630,79
n07731952,corn,1244,1157
n07732168,sweet corn,1297,736
n07732302,hominy,303,106
n07732433,lye hominy,27,1
n07732525,pearl hominy,80,12
n07732636,popcorn,1296,1042
n07732747,cress,848,422
n07732904,watercress,505,146
n07733005,garden cress,311,44
n07733124,winter cress,237,57
n07733217,dandelion green,324,234
n07733394,gumbo,1148,1022
n07733567,kohlrabi,1137,648
n07733712,lamb's-quarter,944,207
n07733847,wild spinach,336,81
n07734017,tomato,1232,1192
n07734183,beefsteak tomato,798,290
n07734292,cherry tomato,1405,1368
n07734417,plum tomato,707,336
n07734555,tomatillo,1013,627
n07734744,mushroom,1793,1516
n07734879,stuffed mushroom,1271,716
n07735052,salsify,120,22
n07735179,oyster plant,59,19
n07735294,scorzonera,120,8
n07735404,parsnip,742,372
n07735510,pumpkin,1541,1515
n07735687,radish,1303,1202
n07735803,turnip,794,544
n07735981,white turnip,302,96
n07736087,rutabaga,618,164
n07736256,turnip greens,988,311
n07736371,sorrel,556,283
n07736527,French sorrel,183,28
n07736692,spinach,1108,665
n07736813,taro,836,419
n07736971,truffle,22,14
n07737081,edible nut,334,51
n07737594,bunya bunya,66,25
n07737745,peanut,973,644
n07738105,freestone,392,8
n07738224,cling,442,25
n07739035,windfall,212,179
n07739125,apple,1319,1291
n07739344,crab apple,1161,1021
n07739506,eating apple,1232,813
n07739923,Baldwin,119,3
n07740033,Cortland,554,124
n07740115,Cox's Orange Pippin,196,10
n07740220,Delicious,1111,668
n07740342,Golden Delicious,1186,551
n07740461,Red Delicious,1261,596
n07740597,Empire,635,369
n07740744,Grimes' golden,73,1
n07740855,Jonathan,216,48
n07740954,McIntosh,1006,168
n07741138,Macoun,535,39
n07741235,Northern Spy,261,29
n07741357,Pearmain,390,4
n07741461,Pippin,673,103
n07741623,Prima,46,9
n07741706,Stayman,302,17
n07741804,Winesap,274,28
n07741888,Stayman Winesap,123,6
n07742012,cooking apple,763,419
n07742224,Bramley's Seedling,344,5
n07742313,Granny Smith,1206,909
n07742415,Lane's Prince Albert,45,1
n07742513,Newtown Wonder,4,0
n07742605,Rome Beauty,119,3
n07742704,berry,1247,1201
n07743224,bilberry,1114,326
n07743384,huckleberry,389,252
n07743544,blueberry,1298,1279
n07743723,wintergreen,385,116
n07743902,cranberry,1140,816
n07744057,lingonberry,860,397
n07744246,currant,1190,1016
n07744430,gooseberry,765,441
n07744559,black currant,295,146
n07744682,red currant,1202,1027
n07744811,blackberry,1257,1247
n07745046,boysenberry,709,155
n07745197,dewberry,137,88
n07745357,loganberry,372,177
n07745466,raspberry,1502,1439
n07745661,saskatoon,292,89
n07745940,strawberry,1478,1443
n07746038,sugarberry,1,0
n07746186,persimmon,1117,830
n07746334,acerola,1065,778
n07746551,carambola,1117,707
n07746749,ceriman,310,131
n07746910,carissa plum,62,8
n07747055,citrus,1351,1302
n07747607,orange,1444,1425
n07747811,temple orange,5,1
n07747951,mandarin,1117,711
n07748157,clementine,1133,699
n07748276,satsuma,1044,391
n07748416,tangerine,1219,705
n07748574,tangelo,786,327
n07748753,bitter orange,905,568
n07748912,sweet orange,814,531
n07749095,Jaffa orange,54,19
n07749192,navel orange,1267,495
n07749312,Valencia orange,952,383
n07749446,kumquat,1123,772
n07749582,lemon,1292,1252
n07749731,lime,1337,1294
n07749870,key lime,461,365
n07749969,grapefruit,1188,890
n07750146,pomelo,1171,608
n07750299,citrange,44,0
n07750449,citron,829,457
n07750586,almond,406,245
n07750736,Jordan almond,657,91
n07750872,apricot,1133,712
n07751004,peach,1230,1200
n07751148,nectarine,1214,919
n07751280,pitahaya,864,294
n07751451,plum,1204,1004
n07751737,damson,216,85
n07751858,greengage,496,204
n07751977,beach plum,96,27
n07752109,sloe,718,481
n07752264,Victoria plum,137,44
n07752377,dried fruit,872,595
n07752514,dried apricot,681,280
n07752602,prune,5,1
n07752664,raisin,499,340
n07752782,seedless raisin,186,2
n07752874,seeded raisin,191,62
n07752966,currant,1216,1007
n07753113,fig,1313,1217
n07753275,pineapple,1209,1142
n07753448,anchovy pear,232,130
n07753592,banana,1409,1382
n07753743,passion fruit,1155,747
n07753980,granadilla,723,423
n07754155,sweet calabash,72,1
n07754279,bell apple,251,173
n07754451,breadfruit,1066,601
n07754684,jackfruit,1400,1276
n07754894,cacao bean,780,338
n07755089,cocoa,882,510
n07755262,canistel,77,11
n07755411,melon,1190,1081
n07755619,melon ball,72,62
n07755707,muskmelon,1082,257
n07755929,cantaloup,1115,738
n07756096,winter melon,62,35
n07756325,honeydew,774,326
n07756499,Persian melon,100,4
n07756641,net melon,490,11
n07756838,casaba,311,14
n07756951,watermelon,1353,1330
n07757132,cherry,1337,1308
n07757312,sweet cherry,1171,681
n07757511,bing cherry,1143,447
n07757602,heart cherry,358,227
n07757753,blackheart,1,1
n07757874,capulin,13,0
n07757990,sour cherry,908,606
n07758125,amarelle,149,9
n07758260,morello,264,35
n07758407,cocoa plum,1,0
n07758582,gherkin,90,66
n07758680,grape,1684,1660
n07758950,fox grape,25,9
n07759194,Concord grape,669,393
n07759324,Catawba,58,1
n07759424,muscadine,443,90
n07759576,scuppernong,208,28
n07759691,slipskin grape,65,2
n07759816,vinifera grape,693,60
n07760070,emperor,8,0
n07760153,muscat,1003,194
n07760297,ribier,96,3
n07760395,sultana,9,3
n07760501,Tokay,242,24
n07760673,flame tokay,11,0
n07760755,Thompson Seedless,294,34
n07760859,custard apple,1013,568
n07761141,cherimoya,1039,304
n07761309,soursop,861,255
n07761611,sweetsop,453,206
n07761777,ilama,3,0
n07761954,pond apple,112,29
n07762114,papaw,1276,625
n07762244,papaya,1092,718
n07762373,kai apple,20,3
n07762534,ketembilla,16,0
n07762740,ackee,519,221
n07762913,durian,1362,1312
n07763107,feijoa,759,275
n07763290,genip,59,10
n07763483,genipap,2,0
n07763629,kiwi,1490,1436
n07763792,loquat,1081,565
n07763987,mangosteen,1051,717
n07764155,mango,1305,1206
n07764315,sapodilla,592,164
n07764486,sapote,337,50
n07764630,tamarind,696,334
n07764847,avocado,1346,907
n07765073,date,1036,553
n07765208,elderberry,1165,870
n07765361,guava,1071,758
n07765517,mombin,27,5
n07765612,hog plum,49,5
n07765728,hog plum,216,46
n07765862,jaboticaba,533,341
n07765999,jujube,1169,311
n07766173,litchi,1120,749
n07766409,longanberry,106,28
n07766530,mamey,335,104
n07766723,marang,274,165
n07766891,medlar,673,291
n07767002,medlar,538,204
n07767171,mulberry,1002,711
n07767344,olive,1168,668
n07767549,black olive,738,570
n07767709,green olive,1068,688
n07767847,pear,1279,1255
n07768068,bosc,578,199
n07768139,anjou,364,69
n07768230,bartlett,545,160
n07768318,seckel,314,63
n07768423,plantain,1011,666
n07768590,plumcot,124,16
n07768694,pomegranate,1561,1553
n07768858,prickly pear,1022,676
n07769102,Barbados gooseberry,2,0
n07769306,quandong,73,20
n07769465,quandong nut,2,1
n07769584,quince,1123,714
n07769731,rambutan,1355,1218
n07769886,pulasan,188,90
n07770034,rose apple,729,320
n07770180,sorb,5,1
n07770439,sour gourd,3,3
n07770571,edible seed,192,101
n07770763,pumpkin seed,1194,885
n07770869,betel nut,191,80
n07771082,beechnut,3,0
n07771212,walnut,1152,800
n07771405,black walnut,348,194
n07771539,English walnut,170,20
n07771731,brazil nut,591,241
n07771891,butternut,436,281
n07772026,souari nut,2,1
n07772147,cashew,1186,750
n07772274,chestnut,1137,767
n07772413,chincapin,25,1
n07772788,hazelnut,848,416
n07772935,coconut,1160,876
n07773428,coconut milk,370,197
n07774182,grugru nut,3,0
n07774295,hickory nut,145,47
n07774479,cola extract,360,76
n07774596,macadamia nut,813,335
n07774719,pecan,1008,685
n07774842,pine nut,925,443
n07775050,pistachio,1215,803
n07775197,sunflower seed,785,518
n07783827,anchovy paste,23,6
n07785487,rollmops,157,13
n07800091,feed,3,0
n07800487,cattle cake,12,0
n07800636,creep feed,64,6
n07800740,fodder,793,419
n07801007,feed grain,3,2
n07801091,eatage,902,485
n07801342,silage,684,246
n07801508,oil cake,1186,477
n07801709,oil meal,34,25
n07801779,alfalfa,801,272
n07801892,broad bean,1256,618
n07802026,hay,1504,1496
n07802152,timothy,79,34
n07802246,stover,112,25
n07802417,grain,914,600
n07802767,grist,7,5
n07802863,groats,592,116
n07802963,millet,730,254
n07803093,barley,1426,832
n07803213,pearl barley,159,38
n07803310,buckwheat,411,90
n07803408,bulgur,167,114
n07803545,wheat,1233,883
n07803779,cracked wheat,158,56
n07803895,stodge,174,28
n07803992,wheat germ,136,40
n07804152,oat,131,118
n07804323,rice,1149,1096
n07804543,brown rice,634,366
n07804657,white rice,1211,1001
n07804771,wild rice,1317,934
n07804900,paddy,1222,959
n07805006,slop,12,6
n07805254,mash,436,421
n07805389,chicken feed,1,0
n07805478,cud,4,2
n07805594,bird feed,1228,669
n07805731,petfood,568,288
n07805966,dog food,463,180
n07806043,cat food,308,146
n07806120,canary seed,535,12
n07806221,salad,1389,1373
n07806633,tossed salad,1347,863
n07806774,green salad,1311,949
n07806879,Caesar salad,392,381
n07807002,salmagundi,668,149
n07807171,salad nicoise,1311,599
n07807317,combination salad,469,170
n07807472,chef's salad,1204,248
n07807594,potato salad,765,471
n07807710,pasta salad,1237,1122
n07807834,macaroni salad,1119,439
n07807922,fruit salad,1214,989
n07808022,Waldorf salad,476,128
n07808166,crab Louis,88,18
n07808268,herring salad,342,39
n07808352,tuna fish salad,64,63
n07808479,chicken salad,392,229
n07808587,coleslaw,1346,1220
n07808675,aspic,70,33
n07808806,molded salad,141,33
n07808904,tabbouleh,1204,422
n07809096,ingredient,933,698
n07809368,flavorer,85,83
n07810531,bouillon cube,27,1
n07810907,condiment,694,418
n07811416,herb,113,49
n07812046,fines herbes,458,45
n07812184,spice,1280,1194
n07812662,spearmint oil,397,16
n07812790,lemon oil,325,68
n07812913,wintergreen oil,450,3
n07813107,salt,252,244
n07813324,celery salt,90,87
n07813495,onion salt,6,4
n07813579,seasoned salt,177,68
n07813717,sour salt,43,0
n07813833,five spice powder,127,8
n07814007,allspice,109,52
n07814203,cinnamon,883,389
n07814390,stick cinnamon,864,451
n07814487,clove,803,442
n07814634,cumin,1105,349
n07814790,fennel,474,283
n07814925,ginger,129,64
n07815163,ginger,358,93
n07815294,mace,331,44
n07815424,nutmeg,829,349
n07815588,pepper,540,462
n07815839,black pepper,481,213
n07815956,white pepper,346,72
n07816052,sassafras,1059,478
n07816164,basil,1316,782
n07816296,bay leaf,1156,494
n07816398,borage,1284,927
n07816575,hyssop,1219,581
n07816726,caraway,69,28
n07816839,chervil,576,202
n07817024,chives,1375,1053
n07817160,comfrey,904,491
n07817315,coriander,1339,920
n07817465,coriander,50,46
n07817599,costmary,124,2
n07817758,fennel,438,221
n07817871,fennel,1088,444
n07818029,fennel seed,390,90
n07818133,fenugreek,493,55
n07818277,garlic,1346,793
n07818422,clove,210,170
n07818572,garlic chive,609,357
n07818689,lemon balm,1209,663
n07818825,lovage,662,227
n07818995,marjoram,1448,946
n07819166,mint,1150,595
n07819303,mustard seed,149,104
n07819480,mustard,483,245
n07819682,Chinese mustard,304,100
n07819769,nasturtium,1290,1233
n07819896,parsley,1306,971
n07820036,salad burnet,71,14
n07820145,rosemary,1326,1300
n07820297,rue,491,251
n07820497,sage,1229,1089
n07820683,clary sage,1171,746
n07820814,savory,419,164
n07820960,summer savory,493,45
n07821107,winter savory,434,159
n07821260,sweet woodruff,975,422
n07821404,sweet cicely,328,117
n07821610,tarragon,469,225
n07821758,thyme,1388,865
n07821919,turmeric,615,127
n07822053,caper,132,99
n07822197,catsup,1237,855
n07822323,cardamom,1208,441
n07822518,cayenne,1256,1180
n07822687,chili powder,277,170
n07822845,chili sauce,1226,642
n07823105,chutney,994,418
n07823280,steak sauce,517,167
n07823369,taco sauce,191,97
n07823460,salsa,1115,707
n07823591,mint sauce,120,53
n07823698,cranberry sauce,1325,1003
n07823814,curry powder,49,36
n07823951,curry,1245,852
n07824191,lamb curry,807,429
n07824268,duck sauce,12,6
n07824383,horseradish,9,5
n07824502,marinade,54,39
n07824702,paprika,978,509
n07824863,Spanish paprika,122,13
n07824988,pickle,336,257
n07825194,dill pickle,574,352
n07825399,bread and butter pickle,435,42
n07825496,pickle relish,101,43
n07825597,piccalilli,38,12
n07825717,sweet pickle,475,179
n07825850,applesauce,211,131
n07825972,soy sauce,978,394
n07826091,Tabasco,1207,787
n07826250,tomato paste,338,182
n07826340,angelica,484,298
n07826453,angelica,699,351
n07826544,almond extract,167,4
n07826653,anise,322,190
n07826930,Chinese anise,1215,665
n07827130,juniper berries,1201,943
n07827284,saffron,1124,540
n07827410,sesame seed,1075,826
n07827554,caraway seed,348,31
n07827750,poppy seed,672,413
n07827896,dill,461,371
n07828041,dill seed,197,27
n07828156,celery seed,151,17
n07828275,lemon extract,57,13
n07828378,monosodium glutamate,221,19
n07828642,vanilla bean,651,344
n07828987,vinegar,437,351
n07829248,cider vinegar,1093,124
n07829331,wine vinegar,1054,238
n07829412,sauce,748,437
n07830493,anchovy sauce,104,19
n07830593,hot sauce,1361,677
n07830690,hard sauce,11,3
n07830841,horseradish sauce,153,29
n07830986,bolognese pasta sauce,327,185
n07831146,carbonara,1287,840
n07831267,tomato sauce,1119,794
n07831450,tartare sauce,1,1
n07831663,wine sauce,298,200
n07831821,marchand de vin,212,160
n07831955,bread sauce,1,0
n07832099,plum sauce,295,116
n07832202,peach sauce,83,12
n07832307,apricot sauce,108,29
n07832416,pesto,1210,805
n07832592,ravigote,279,26
n07832741,remoulade sauce,112,32
n07832902,dressing,1283,1039
n07833333,sauce Louis,71,45
n07833535,bleu cheese dressing,224,159
n07833672,blue cheese dressing,18,4
n07833816,French dressing,1,1
n07833951,Lorenzo dressing,123,16
n07834065,anchovy dressing,623,175
n07834160,Italian dressing,28,17
n07834286,half-and-half dressing,198,22
n07834507,mayonnaise,822,412
n07834618,green mayonnaise,817,450
n07834774,aioli,58,57
n07834872,Russian dressing,707,168
n07835051,salad cream,1,1
n07835173,Thousand Island dressing,11,5
n07835331,barbecue sauce,721,162
n07835457,hollandaise,1251,980
n07835547,bearnaise,96,59
n07835701,Bercy,186,6
n07835823,bordelaise,203,78
n07835921,bourguignon,1044,484
n07836077,brown sauce,170,63
n07836269,Espagnole,130,8
n07836456,Chinese brown sauce,73,45
n07836600,blanc,125,24
n07836731,cheese sauce,68,62
n07836838,chocolate sauce,1206,908
n07837002,hot-fudge sauce,693,212
n07837110,cocktail sauce,70,53
n07837234,Colbert,98,6
n07837362,white sauce,676,381
n07837545,cream sauce,433,185
n07837630,Mornay sauce,35,3
n07837755,demiglace,384,94
n07837912,gravy,549,261
n07838073,gravy,624,317
n07838233,spaghetti sauce,942,551
n07838441,marinara,703,329
n07838551,mole,503,228
n07838659,hunter's sauce,206,17
n07838811,mushroom sauce,264,193
n07838905,mustard sauce,26,19
n07839055,Nantua,133,110
n07839172,Hungarian sauce,144,122
n07839312,pepper sauce,54,50
n07839478,roux,361,70
n07839593,Smitane,5,0
n07839730,Soubise,260,158
n07839864,Lyonnaise sauce,279,146
n07840027,veloute,1011,396
n07840124,allemande,30,1
n07840219,caper sauce,312,178
n07840304,poulette,195,70
n07840395,curry sauce,238,179
n07840520,Worcester sauce,482,120
n07840672,coconut milk,268,170
n07840804,egg,1240,1230
n07841037,egg white,216,160
n07841345,egg yolk,1356,1080
n07841495,boiled egg,1235,891
n07841639,hard-boiled egg,1220,907
n07841800,Easter egg,1118,662
n07841907,Easter egg,1318,979
n07842044,chocolate egg,1211,892
n07842130,candy egg,969,782
n07842202,poached egg,1235,987
n07842308,scrambled eggs,1291,973
n07842433,deviled egg,1407,1034
n07842605,shirred egg,843,568
n07842753,omelet,1343,1329
n07842972,firm omelet,240,26
n07843117,French omelet,474,82
n07843220,fluffy omelet,324,54
n07843348,western omelet,273,52
n07843464,souffle,1247,735
n07843636,fried egg,1295,954
n07843775,dairy product,670,311
n07844042,milk,1240,860
n07844604,milk,440,405
n07844786,sour milk,121,57
n07844867,soya milk,1206,688
n07845087,formula,549,63
n07845166,pasteurized milk,379,27
n07845335,cows' milk,96,18
n07845421,yak's milk,15,1
n07845495,goats' milk,23,15
n07845571,acidophilus milk,55,0
n07845702,raw milk,561,300
n07845775,scalded milk,138,10
n07845863,homogenized milk,486,47
n07846014,certified milk,133,3
n07846143,powdered milk,603,306
n07846274,nonfat dry milk,73,2
n07846359,evaporated milk,353,83
n07846471,condensed milk,330,112
n07846557,skim milk,427,87
n07846688,semi-skimmed milk,231,23
n07846802,whole milk,419,167
n07846938,low-fat milk,329,60
n07847047,buttermilk,335,115
n07847198,cream,936,703
n07847453,clotted cream,1001,658
n07847585,double creme,382,163
n07847706,half-and-half,58,17
n07847827,heavy cream,790,378
n07847917,light cream,913,599
n07848093,sour cream,647,384
n07848196,whipping cream,1068,668
n07848338,butter,524,257
n07848771,clarified butter,153,32
n07848936,ghee,313,99
n07849026,brown butter,7,7
n07849186,Meuniere butter,2,1
n07849336,yogurt,1081,641
n07849506,blueberry yogurt,282,198
n07849619,raita,596,230
n07849733,whey,725,343
n07849912,curd,666,284
n07850083,curd,543,216
n07850219,clabber,52,0
n07850329,cheese,759,470
n07851054,paring,11,4
n07851298,cream cheese,582,515
n07851443,double cream,807,449
n07851554,mascarpone,503,267
n07851641,triple cream,776,263
n07851767,cottage cheese,521,309
n07851926,process cheese,308,39
n07852045,bleu,485,269
n07852229,Stilton,832,259
n07852302,Roquefort,472,109
n07852376,gorgonzola,125,55
n07852452,Danish blue,154,14
n07852532,Bavarian blue,61,1
n07852614,Brie,1177,671
n07852712,brick cheese,112,17
n07852833,Camembert,1210,512
n07852919,cheddar,443,292
n07853125,rat cheese,88,52
n07853232,Cheshire cheese,197,50
n07853345,double Gloucester,370,54
n07853445,Edam,288,53
n07853560,goat cheese,471,340
n07853648,Gouda,254,146
n07853762,grated cheese,317,267
n07853852,hand cheese,78,43
n07853946,Liederkranz,47,0
n07854066,Limburger,245,23
n07854184,mozzarella,952,520
n07854266,Muenster,211,85
n07854348,Parmesan,381,170
n07854455,quark cheese,278,80
n07854614,ricotta,230,132
n07854707,string cheese,102,43
n07854813,Swiss cheese,382,164
n07854982,Emmenthal,889,88
n07855105,Gruyere,331,69
n07855188,sapsago,69,0
n07855317,Velveeta,240,110
n07855413,nut butter,85,16
n07855510,peanut butter,636,239
n07855603,marshmallow fluff,170,84
n07855721,onion butter,44,35
n07855812,pimento butter,89,7
n07855907,shrimp butter,547,282
n07856045,lobster butter,254,143
n07856186,yak butter,65,24
n07856270,spread,110,106
n07856756,cheese spread,87,64
n07856895,anchovy butter,6,0
n07856992,fishpaste,3,0
n07857076,garlic butter,6,4
n07857170,miso,909,649
n07857356,wasabi,253,180
n07857598,snail butter,80,14
n07857731,hummus,1331,727
n07857959,pate,351,203
n07858114,duck pate,499,190
n07858197,foie gras,347,176
n07858336,tapenade,116,89
n07858484,tahini,257,42
n07858595,sweetening,102,57
n07858841,aspartame,53,6
n07858978,honey,1112,459
n07859142,saccharin,239,2
n07859284,sugar,555,160
n07859583,syrup,1085,347
n07859796,sugar syrup,535,166
n07859951,molasses,146,57
n07860103,sorghum,1224,674
n07860208,treacle,199,64
n07860331,grenadine,1113,255
n07860447,maple syrup,1121,434
n07860548,corn syrup,24,11
n07860629,miraculous food,110,71
n07860805,batter,1246,684
n07860988,dough,1249,967
n07861158,bread dough,1227,964
n07861247,pancake batter,410,260
n07861334,fritter batter,299,48
n07861557,coq au vin,1226,511
n07861681,chicken provencale,11,0
n07861813,chicken and rice,682,580
n07861983,moo goo gai pan,448,26
n07862095,arroz con pollo,554,210
n07862244,bacon and eggs,591,476
n07862348,barbecued spareribs,1321,916
n07862461,beef Bourguignonne,689,125
n07862611,beef Wellington,1207,450
n07862770,bitok,6,1
n07862946,boiled dinner,105,76
n07863107,Boston baked beans,183,41
n07863229,bubble and squeak,124,58
n07863374,pasta,1392,1371
n07863547,cannelloni,1218,364
n07863644,carbonnade flamande,81,10
n07863802,cheese souffle,936,323
n07863935,chicken Marengo,206,18
n07864065,chicken cordon bleu,448,148
n07864198,Maryland chicken,174,47
n07864317,chicken paprika,241,127
n07864475,chicken Tetrazzini,227,23
n07864638,Tetrazzini,360,58
n07864756,chicken Kiev,638,149
n07864934,chili,1045,646
n07865105,chili dog,1260,736
n07865196,chop suey,693,124
n07865484,chow mein,1283,1141
n07865575,codfish ball,78,18
n07865700,coquille,142,65
n07865788,coquilles Saint-Jacques,85,15
n07866015,croquette,1213,867
n07866151,cottage pie,547,222
n07866277,rissole,909,540
n07866409,dolmas,562,260
n07866571,egg foo yong,346,69
n07866723,egg roll,1205,1034
n07866868,eggs Benedict,1463,1390
n07867021,enchilada,1231,792
n07867164,falafel,850,491
n07867324,fish and chips,1295,989
n07867421,fondue,662,360
n07867616,cheese fondue,1235,648
n07867751,chocolate fondue,1205,789
n07867883,fondue,287,178
n07868045,beef fondue,370,38
n07868200,French toast,1263,1092
n07868340,fried rice,1579,1552
n07868508,frittata,1263,896
n07868684,frog legs,308,213
n07868830,galantine,576,84
n07868955,gefilte fish,1213,864
n07869111,haggis,54,45
n07869291,ham and eggs,465,374
n07869391,hash,468,105
n07869522,corned beef hash,602,348
n07869611,jambalaya,1343,731
n07869775,kabob,1205,781
n07869937,kedgeree,221,29
n07870069,souvlaki,569,309
n07870167,lasagna,1352,756
n07870313,seafood Newburg,504,114
n07870478,lobster Newburg,95,16
n07870620,shrimp Newburg,112,6
n07870734,Newburg sauce,119,4
n07870894,lobster thermidor,466,92
n07871065,lutefisk,204,52
n07871234,macaroni and cheese,1218,719
n07871335,macedoine,153,20
n07871436,meatball,1238,1179
n07871588,porcupine ball,257,44
n07871720,Swedish meatball,1435,990
n07871810,meat loaf,1262,704
n07872593,moussaka,737,365
n07872748,osso buco,329,98
n07873057,marrow,504,289
n07873198,pheasant under glass,252,37
n07873348,pigs in blankets,639,426
n07873464,pilaf,1000,674
n07873679,bulgur pilaf,222,25
n07873807,pizza,1289,1257
n07874063,sausage pizza,1215,946
n07874159,pepperoni pizza,1407,1190
n07874259,cheese pizza,1367,1027
n07874343,anchovy pizza,1077,462
n07874441,Sicilian pizza,1098,294
n07874531,poi,61,60
n07874674,pork and beans,57,53
n07874780,porridge,1300,1296
n07874995,oatmeal,371,189
n07875086,loblolly,112,0
n07875152,potpie,993,394
n07875267,rijsttaffel,184,87
n07875436,risotto,1415,1188
n07875560,roulade,442,202
n07875693,fish loaf,572,148
n07875835,salmon loaf,360,37
n07875926,Salisbury steak,300,99
n07876026,sauerbraten,273,96
n07876189,sauerkraut,482,276
n07876281,scallopine,315,131
n07876460,veal scallopini,365,27
n07876550,scampi,286,254
n07876651,Scotch egg,824,521
n07876775,Scotch woodcock,17,3
n07876893,scrapple,396,248
n07877187,spaghetti and meatballs,1218,844
n07877299,Spanish rice,998,528
n07877675,steak tartare,663,410
n07877849,pepper steak,668,434
n07877961,steak au poivre,1140,562
n07878145,beef Stroganoff,172,93
n07878283,stuffed cabbage,291,168
n07878479,kishke,25,4
n07878647,stuffed peppers,1516,1094
n07878785,stuffed tomato,1201,635
n07878926,stuffed tomato,1210,662
n07879072,succotash,546,240
n07879174,sukiyaki,951,556
n07879350,sashimi,1319,908
n07879450,sushi,682,644
n07879560,Swiss steak,205,21
n07879659,tamale,1217,816
n07879821,tamale pie,107,19
n07879953,tempura,1473,1305
n07880080,teriyaki,1410,881
n07880213,terrine,595,396
n07880325,Welsh rarebit,651,173
n07880458,schnitzel,1247,970
n07880751,taco,1189,833
n07880880,chicken taco,528,345
n07880968,burrito,1291,813
n07881117,beef burrito,355,134
n07881205,quesadilla,668,650
n07881404,tostada,733,518
n07881525,bean tostada,75,16
n07881625,refried beans,195,97
n07881800,beverage,1218,1205
n07882420,wish-wash,490,305
n07882497,concoction,1236,1187
n07882886,mix,49,25
n07883031,filling,834,660
n07883156,lekvar,81,7
n07883251,potion,1025,500
n07883384,elixir,358,168
n07883510,elixir of life,8,4
n07883661,philter,53,3
n07884567,alcohol,1271,685
n07885705,proof spirit,579,48
n07886057,home brew,1263,673
n07886176,hooch,777,282
n07886317,kava,139,91
n07886463,aperitif,1346,632
